"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_legalstrength90"
"04/22/2025 15:21:45:600 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"28","10","legal","90","5","8","92","28","10","legal","90","5","9.299999999999997","90.7","28","10","legal","90","5","7.8999999999999915","92.10000000000001","28","10","legal","90","5","8.200000000000003","91.8","28","10","legal","90","5","10","90","28","10","legal","90","5","8.399999999999991","91.60000000000001","28","10","legal","90","5","10.099999999999994","89.9","28","10","legal","90","5","8.5","91.5","28","10","legal","90","5","8.799999999999997","91.2","28","10","legal","90","5","8.599999999999994","91.4"
,"29","10","legal","90","5","5.800000000000011","94.19999999999999","29","10","legal","90","5","6.200000000000003","93.8","29","10","legal","90","5","5.800000000000011","94.19999999999999","29","10","legal","90","5","6","94","29","10","legal","90","5","7.599999999999994","92.4","29","10","legal","90","5","6.799999999999997","93.2","29","10","legal","90","5","8.299999999999997","91.7","29","10","legal","90","5","6.8999999999999915","93.10000000000001","29","10","legal","90","5","6.5","93.5","29","10","legal","90","5","6.299999999999997","93.7"
,"30","10","legal","90","5","4.200000000000003","95.8","30","10","legal","90","5","4.700000000000003","95.3","30","10","legal","90","5","4.5","95.5","30","10","legal","90","5","5","95","30","10","legal","90","5","5.900000000000006","94.1","30","10","legal","90","5","5.800000000000011","94.19999999999999","30","10","legal","90","5","6.5","93.5","30","10","legal","90","5","5.300000000000011","94.69999999999999","30","10","legal","90","5","5.300000000000011","94.69999999999999","30","10","legal","90","5","4.299999999999997","95.7"
,"31","10","legal","90","5","11.799999999999997","88.2","31","10","legal","90","5","12.900000000000006","87.1","31","10","legal","90","5","12.599999999999994","87.4","31","10","legal","90","5","13.400000000000006","86.6","31","10","legal","90","5","13.799999999999997","86.2","31","10","legal","90","5","13.700000000000003","86.3","31","10","legal","90","5","14.099999999999994","85.9","31","10","legal","90","5","13.200000000000003","86.8","31","10","legal","90","5","13.099999999999994","86.9","31","10","legal","90","5","12.599999999999994","87.4"
,"32","10","legal","90","5","9.200000000000003","90.8","32","10","legal","90","5","9.399999999999991","90.60000000000001","32","10","legal","90","5","7.799999999999997","92.2","32","10","legal","90","5","10.299999999999997","89.7","32","10","legal","90","5","10.399999999999991","89.60000000000001","32","10","legal","90","5","10.299999999999997","89.7","32","10","legal","90","5","9.799999999999997","90.2","32","10","legal","90","5","9.899999999999991","90.10000000000001","32","10","legal","90","5","10","90","32","10","legal","90","5","9.700000000000003","90.3"
,"33","10","legal","90","5","6.8999999999999915","93.10000000000001","33","10","legal","90","5","7.199999999999989","92.80000000000001","33","10","legal","90","5","5.800000000000011","94.19999999999999","33","10","legal","90","5","8","92","33","10","legal","90","5","8.200000000000003","91.8","33","10","legal","90","5","8","92","33","10","legal","90","5","6.8999999999999915","93.10000000000001","33","10","legal","90","5","7.599999999999994","92.4","33","10","legal","90","5","8","92","33","10","legal","90","5","7.299999999999997","92.7"
,"34","10","legal","90","5","5.400000000000006","94.6","34","10","legal","90","5","5.400000000000006","94.6","34","10","legal","90","5","4.700000000000003","95.3","34","10","legal","90","5","6.699999999999989","93.30000000000001","34","10","legal","90","5","6.599999999999994","93.4","34","10","legal","90","5","6.8999999999999915","93.10000000000001","34","10","legal","90","5","5.400000000000006","94.6","34","10","legal","90","5","6","94","34","10","legal","90","5","6.3999999999999915","93.60000000000001","34","10","legal","90","5","5.5","94.5"
,"35","10","legal","90","5","4.6000000000000085","95.39999999999999","35","10","legal","90","5","3.6000000000000085","96.39999999999999","35","10","legal","90","5","4","96","35","10","legal","90","5","5.300000000000011","94.69999999999999","35","10","legal","90","5","5.200000000000003","94.8","35","10","legal","90","5","5.200000000000003","94.8","35","10","legal","90","5","4.800000000000011","95.19999999999999","35","10","legal","90","5","4.200000000000003","95.8","35","10","legal","90","5","5.1000000000000085","94.89999999999999","35","10","legal","90","5","4.299999999999997","95.7"
,"36","10","legal","90","5","12.799999999999997","87.2","36","10","legal","90","5","12.200000000000003","87.8","36","10","legal","90","5","12.200000000000003","87.8","36","10","legal","90","5","13.099999999999994","86.9","36","10","legal","90","5","13.299999999999997","86.7","36","10","legal","90","5","13.200000000000003","86.8","36","10","legal","90","5","12.200000000000003","87.8","36","10","legal","90","5","12","88","36","10","legal","90","5","12.700000000000003","87.3","36","10","legal","90","5","12.5","87.5"
,"37","10","legal","90","5","8.799999999999997","91.2","37","10","legal","90","5","8.700000000000003","91.3","37","10","legal","90","5","8.299999999999997","91.7","37","10","legal","90","5","10","90","37","10","legal","90","5","9","91","37","10","legal","90","5","10","90","37","10","legal","90","5","8.700000000000003","91.3","37","10","legal","90","5","8.899999999999991","91.10000000000001","37","10","legal","90","5","9.200000000000003","90.8","37","10","legal","90","5","9.599999999999994","90.4"
