"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_none"
"04/22/2025 15:30:50:199 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"11","30","none","30","5","9.099999999999994","90.9","11","30","none","30","5","9.299999999999997","90.7","11","30","none","30","5","9.599999999999994","90.4","11","30","none","30","5","9.099999999999994","90.9","11","30","none","30","5","8.5","91.5","11","30","none","30","5","8.599999999999994","91.4","11","30","none","30","5","8.799999999999997","91.2","11","30","none","30","5","8.099999999999994","91.9","11","30","none","30","5","9.299999999999997","90.7","11","30","none","30","5","8.799999999999997","91.2"
,"12","30","none","30","5","7.3999999999999915","92.60000000000001","12","30","none","30","5","7.199999999999989","92.80000000000001","12","30","none","30","5","7.3999999999999915","92.60000000000001","12","30","none","30","5","7","93","12","30","none","30","5","7.099999999999994","92.9","12","30","none","30","5","6.8999999999999915","93.10000000000001","12","30","none","30","5","7.699999999999989","92.30000000000001","12","30","none","30","5","6.3999999999999915","93.60000000000001","12","30","none","30","5","7.299999999999997","92.7","12","30","none","30","5","6.8999999999999915","93.10000000000001"
,"13","30","none","30","5","6","94","13","30","none","30","5","5.800000000000011","94.19999999999999","13","30","none","30","5","5.700000000000003","94.3","13","30","none","30","5","5.6000000000000085","94.39999999999999","13","30","none","30","5","5.6000000000000085","94.39999999999999","13","30","none","30","5","5.800000000000011","94.19999999999999","13","30","none","30","5","6.699999999999989","93.30000000000001","13","30","none","30","5","5.200000000000003","94.8","13","30","none","30","5","5.700000000000003","94.3","13","30","none","30","5","5.900000000000006","94.1"
,"14","30","none","30","5","5.1000000000000085","94.89999999999999","14","30","none","30","5","4.400000000000006","95.6","14","30","none","30","5","4.299999999999997","95.7","14","30","none","30","5","4.400000000000006","95.6","14","30","none","30","5","4.400000000000006","95.6","14","30","none","30","5","5","95","14","30","none","30","5","5.200000000000003","94.8","14","30","none","30","5","4.299999999999997","95.7","14","30","none","30","5","4.5","95.5","14","30","none","30","5","4.6000000000000085","95.39999999999999"
,"15","30","none","30","5","4.200000000000003","95.8","15","30","none","30","5","3.700000000000003","96.3","15","30","none","30","5","3.4000000000000057","96.6","15","30","none","30","5","3.6000000000000085","96.39999999999999","15","30","none","30","5","3.4000000000000057","96.6","15","30","none","30","5","4.200000000000003","95.8","15","30","none","30","5","4.299999999999997","95.7","15","30","none","30","5","3.4000000000000057","96.6","15","30","none","30","5","3.5","96.5","15","30","none","30","5","3.1000000000000085","96.89999999999999"
,"16","30","none","30","5","3.299999999999997","96.7","16","30","none","30","5","2.9000000000000057","97.1","16","30","none","30","5","3.1000000000000085","96.89999999999999","16","30","none","30","5","3","97","16","30","none","30","5","2.6000000000000085","97.39999999999999","16","30","none","30","5","3.1000000000000085","96.89999999999999","16","30","none","30","5","3.9000000000000057","96.1","16","30","none","30","5","2.799999999999997","97.2","16","30","none","30","5","2.799999999999997","97.2","16","30","none","30","5","2.700000000000003","97.3"
,"17","30","none","30","5","2.6000000000000085","97.39999999999999","17","30","none","30","5","2.4000000000000057","97.6","17","30","none","30","5","2.6000000000000085","97.39999999999999","17","30","none","30","5","2.6000000000000085","97.39999999999999","17","30","none","30","5","2.200000000000003","97.8","17","30","none","30","5","2.6000000000000085","97.39999999999999","17","30","none","30","5","3.200000000000003","96.8","17","30","none","30","5","2.200000000000003","97.8","17","30","none","30","5","2.700000000000003","97.3","17","30","none","30","5","2.700000000000003","97.3"
,"18","30","none","30","5","2","98","18","30","none","30","5","2.1000000000000085","97.89999999999999","18","30","none","30","5","2.200000000000003","97.8","18","30","none","30","5","2.200000000000003","97.8","18","30","none","30","5","1.5999999999999943","98.4","18","30","none","30","5","1.9000000000000057","98.1","18","30","none","30","5","2.799999999999997","97.2","18","30","none","30","5","1.7999999999999972","98.2","18","30","none","30","5","2.6000000000000085","97.39999999999999","18","30","none","30","5","2","98"
,"19","30","none","30","5","1.5999999999999943","98.4","19","30","none","30","5","1.9000000000000057","98.1","19","30","none","30","5","1.7000000000000028","98.3","19","30","none","30","5","1.5999999999999943","98.4","19","30","none","30","5","1.2000000000000028","98.8","19","30","none","30","5","1.4000000000000057","98.6","19","30","none","30","5","2.200000000000003","97.8","19","30","none","30","5","1.5999999999999943","98.4","19","30","none","30","5","2.1000000000000085","97.89999999999999","19","30","none","30","5","1.5","98.5"
,"20","30","none","30","5","1.4000000000000057","98.6","20","30","none","30","5","1.5","98.5","20","30","none","30","5","1.4000000000000057","98.6","20","30","none","30","5","1.2999999999999972","98.7","20","30","none","30","5","1.2000000000000028","98.8","20","30","none","30","5","0.7000000000000028","99.3","20","30","none","30","5","1.7000000000000028","98.3","20","30","none","30","5","1.4000000000000057","98.6","20","30","none","30","5","1.9000000000000057","98.1","20","30","none","30","5","1.2000000000000028","98.8"
