"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_platformaccuracy70_speed75"
"04/22/2025 16:23:50:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"9","10","platform","70","75","49.1","50.9","9","10","platform","70","75","42.400000000000006","57.599999999999994","9","10","platform","70","75","47.099999999999994","52.900000000000006","9","10","platform","70","75","47.3","52.7","9","10","platform","70","75","44.599999999999994","55.400000000000006","9","10","platform","70","75","41.300000000000004","58.699999999999996","9","10","platform","70","75","41.7","58.3","9","10","platform","70","75","46.5","53.5","9","10","platform","70","75","42.800000000000004","57.199999999999996","9","10","platform","70","75","47.4","52.6"
,"10","10","platform","70","75","43.10000000000001","56.89999999999999","10","10","platform","70","75","37.8","62.2","10","10","platform","70","75","41.900000000000006","58.099999999999994","10","10","platform","70","75","43.400000000000006","56.599999999999994","10","10","platform","70","75","41.2","58.8","10","10","platform","70","75","37.8","62.2","10","10","platform","70","75","38.9","61.1","10","10","platform","70","75","44.39999999999999","55.60000000000001","10","10","platform","70","75","38.800000000000004","61.199999999999996","10","10","platform","70","75","42.900000000000006","57.099999999999994"
,"11","10","platform","70","75","39.7","60.3","11","10","platform","70","75","34.5","65.5","11","10","platform","70","75","38.800000000000004","61.199999999999996","11","10","platform","70","75","39.7","60.3","11","10","platform","70","75","37.8","62.2","11","10","platform","70","75","34.89999999999999","65.10000000000001","11","10","platform","70","75","35.5","64.5","11","10","platform","70","75","39.1","60.9","11","10","platform","70","75","35.8","64.2","11","10","platform","70","75","39.5","60.5"
,"12","10","platform","70","75","36.5","63.5","12","10","platform","70","75","31.10000000000001","68.89999999999999","12","10","platform","70","75","37.2","62.8","12","10","platform","70","75","36","64","12","10","platform","70","75","34","66","12","10","platform","70","75","33.3","66.7","12","10","platform","70","75","32.8","67.2","12","10","platform","70","75","36.4","63.6","12","10","platform","70","75","33.2","66.8","12","10","platform","70","75","37.1","62.9"
,"13","10","platform","70","75","33.89999999999999","66.10000000000001","13","10","platform","70","75","28.299999999999997","71.7","13","10","platform","70","75","34.89999999999999","65.10000000000001","13","10","platform","70","75","33.7","66.3","13","10","platform","70","75","32.19999999999999","67.80000000000001","13","10","platform","70","75","31.10000000000001","68.89999999999999","13","10","platform","70","75","30.5","69.5","13","10","platform","70","75","32.5","67.5","13","10","platform","70","75","31","69","13","10","platform","70","75","34.2","65.8"
,"14","10","platform","70","75","30.400000000000006","69.6","14","10","platform","70","75","27.799999999999997","72.2","14","10","platform","70","75","31.39999999999999","68.60000000000001","14","10","platform","70","75","31.10000000000001","68.89999999999999","14","10","platform","70","75","31.5","68.5","14","10","platform","70","75","29.10000000000001","70.89999999999999","14","10","platform","70","75","26.599999999999994","73.4","14","10","platform","70","75","30.10000000000001","69.89999999999999","14","10","platform","70","75","29.5","70.5","14","10","platform","70","75","30.80000000000001","69.19999999999999"
,"15","10","platform","70","75","28.400000000000006","71.6","15","10","platform","70","75","25.700000000000003","74.3","15","10","platform","70","75","28.400000000000006","71.6","15","10","platform","70","75","29.5","70.5","15","10","platform","70","75","29.60000000000001","70.39999999999999","15","10","platform","70","75","28.10000000000001","71.89999999999999","15","10","platform","70","75","26.099999999999994","73.9","15","10","platform","70","75","28.900000000000006","71.1","15","10","platform","70","75","29.80000000000001","70.19999999999999","15","10","platform","70","75","28.60000000000001","71.39999999999999"
,"16","10","platform","70","75","27.400000000000006","72.6","16","10","platform","70","75","25.200000000000003","74.8","16","10","platform","70","75","26.900000000000006","73.1","16","10","platform","70","75","28.60000000000001","71.39999999999999","16","10","platform","70","75","27.799999999999997","72.2","16","10","platform","70","75","27.10000000000001","72.89999999999999","16","10","platform","70","75","24.799999999999997","75.2","16","10","platform","70","75","26.400000000000006","73.6","16","10","platform","70","75","27.10000000000001","72.89999999999999","16","10","platform","70","75","26.799999999999997","73.2"
,"17","10","platform","70","75","26.700000000000003","73.3","17","10","platform","70","75","23.900000000000006","76.1","17","10","platform","70","75","27.10000000000001","72.89999999999999","17","10","platform","70","75","26.5","73.5","17","10","platform","70","75","26.799999999999997","73.2","17","10","platform","70","75","26.299999999999997","73.7","17","10","platform","70","75","25.299999999999997","74.7","17","10","platform","70","75","26.200000000000003","73.8","17","10","platform","70","75","26.5","73.5","17","10","platform","70","75","27.200000000000003","72.8"
,"18","10","platform","70","75","25.5","74.5","18","10","platform","70","75","22.599999999999994","77.4","18","10","platform","70","75","25.400000000000006","74.6","18","10","platform","70","75","25.200000000000003","74.8","18","10","platform","70","75","25.400000000000006","74.6","18","10","platform","70","75","25.200000000000003","74.8","18","10","platform","70","75","24.799999999999997","75.2","18","10","platform","70","75","24.700000000000003","75.3","18","10","platform","70","75","27","73","18","10","platform","70","75","24.599999999999994","75.4"
