"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_platformaccuracy80_speed50"
"04/22/2025 17:11:11:532 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"9","30","platform","80","50","24.799999999999997","75.2","9","30","platform","80","50","29.80000000000001","70.19999999999999","9","30","platform","80","50","28.900000000000006","71.1","9","30","platform","80","50","25.900000000000006","74.1","9","30","platform","80","50","25.200000000000003","74.8","9","30","platform","80","50","27.5","72.5","9","30","platform","80","50","28.5","71.5","9","30","platform","80","50","26.5","73.5","9","30","platform","80","50","26.599999999999994","73.4","9","30","platform","80","50","26.299999999999997","73.7"
,"10","30","platform","80","50","22.89999999999999","77.10000000000001","10","30","platform","80","50","28.60000000000001","71.39999999999999","10","30","platform","80","50","25.099999999999994","74.9","10","30","platform","80","50","24","76","10","30","platform","80","50","23.599999999999994","76.4","10","30","platform","80","50","25.400000000000006","74.6","10","30","platform","80","50","26.099999999999994","73.9","10","30","platform","80","50","25.599999999999994","74.4","10","30","platform","80","50","23.400000000000006","76.6","10","30","platform","80","50","23.700000000000003","76.3"
,"11","30","platform","80","50","21.5","78.5","11","30","platform","80","50","27.400000000000006","72.6","11","30","platform","80","50","24.5","75.5","11","30","platform","80","50","23","77","11","30","platform","80","50","21.39999999999999","78.60000000000001","11","30","platform","80","50","23.799999999999997","76.2","11","30","platform","80","50","22.700000000000003","77.3","11","30","platform","80","50","24.5","75.5","11","30","platform","80","50","22.299999999999997","77.7","11","30","platform","80","50","22.89999999999999","77.10000000000001"
,"12","30","platform","80","50","20","80","12","30","platform","80","50","25.599999999999994","74.4","12","30","platform","80","50","22.5","77.5","12","30","platform","80","50","21.799999999999997","78.2","12","30","platform","80","50","20.099999999999994","79.9","12","30","platform","80","50","22.700000000000003","77.3","12","30","platform","80","50","21.39999999999999","78.60000000000001","12","30","platform","80","50","22.799999999999997","77.2","12","30","platform","80","50","21.39999999999999","78.60000000000001","12","30","platform","80","50","21.099999999999994","78.9"
,"13","30","platform","80","50","20.099999999999994","79.9","13","30","platform","80","50","23.099999999999994","76.9","13","30","platform","80","50","20.799999999999997","79.2","13","30","platform","80","50","20.599999999999994","79.4","13","30","platform","80","50","19.89999999999999","80.10000000000001","13","30","platform","80","50","21.599999999999994","78.4","13","30","platform","80","50","20.89999999999999","79.10000000000001","13","30","platform","80","50","21.89999999999999","78.10000000000001","13","30","platform","80","50","20.19999999999999","79.80000000000001","13","30","platform","80","50","21.5","78.5"
,"14","30","platform","80","50","20.099999999999994","79.9","14","30","platform","80","50","22","78","14","30","platform","80","50","20.299999999999997","79.7","14","30","platform","80","50","20.39999999999999","79.60000000000001","14","30","platform","80","50","20.599999999999994","79.4","14","30","platform","80","50","19.799999999999997","80.2","14","30","platform","80","50","20.89999999999999","79.10000000000001","14","30","platform","80","50","20.19999999999999","79.80000000000001","14","30","platform","80","50","19","81","14","30","platform","80","50","20.19999999999999","79.80000000000001"
,"15","30","platform","80","50","20.5","79.5","15","30","platform","80","50","21.39999999999999","78.60000000000001","15","30","platform","80","50","18.89999999999999","81.10000000000001","15","30","platform","80","50","20.5","79.5","15","30","platform","80","50","20.19999999999999","79.80000000000001","15","30","platform","80","50","19.19999999999999","80.80000000000001","15","30","platform","80","50","19.39999999999999","80.60000000000001","15","30","platform","80","50","18.5","81.5","15","30","platform","80","50","18.799999999999997","81.2","15","30","platform","80","50","20.39999999999999","79.60000000000001"
,"16","30","platform","80","50","19.69999999999999","80.30000000000001","16","30","platform","80","50","20.89999999999999","79.10000000000001","16","30","platform","80","50","18.60000000000001","81.39999999999999","16","30","platform","80","50","20.099999999999994","79.9","16","30","platform","80","50","18.89999999999999","81.10000000000001","16","30","platform","80","50","18.400000000000006","81.6","16","30","platform","80","50","19.39999999999999","80.60000000000001","16","30","platform","80","50","17.80000000000001","82.19999999999999","16","30","platform","80","50","18.5","81.5","16","30","platform","80","50","19.39999999999999","80.60000000000001"
,"17","30","platform","80","50","18.89999999999999","81.10000000000001","17","30","platform","80","50","20.5","79.5","17","30","platform","80","50","18.200000000000003","81.8","17","30","platform","80","50","19","81","17","30","platform","80","50","17.10000000000001","82.89999999999999","17","30","platform","80","50","18.400000000000006","81.6","17","30","platform","80","50","18.200000000000003","81.8","17","30","platform","80","50","17.200000000000003","82.8","17","30","platform","80","50","17.700000000000003","82.3","17","30","platform","80","50","17.700000000000003","82.3"
,"18","30","platform","80","50","19.799999999999997","80.2","18","30","platform","80","50","19.299999999999997","80.7","18","30","platform","80","50","16.799999999999997","83.2","18","30","platform","80","50","17.700000000000003","82.3","18","30","platform","80","50","16.200000000000003","83.8","18","30","platform","80","50","17.30000000000001","82.69999999999999","18","30","platform","80","50","18.700000000000003","81.3","18","30","platform","80","50","16.200000000000003","83.8","18","30","platform","80","50","16.900000000000006","83.1","18","30","platform","80","50","17.80000000000001","82.19999999999999"
