"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_legalstrength60_time1"
"04/22/2025 16:07:48:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"21","30","legal","60","1","35.2","64.8","21","30","legal","60","1","37","63","21","30","legal","60","1","34.8","65.2","21","30","legal","60","1","36.9","63.1","21","30","legal","60","1","35.3","64.7","21","30","legal","60","1","36.5","63.5","21","30","legal","60","1","35.2","64.8","21","30","legal","60","1","36.3","63.7","21","30","legal","60","1","34.8","65.2","21","30","legal","60","1","39.6","60.4"
,"22","30","legal","60","1","33.8","66.2","22","30","legal","60","1","35.599999999999994","64.4","22","30","legal","60","1","34.599999999999994","65.4","22","30","legal","60","1","36.7","63.3","22","30","legal","60","1","34.2","65.8","22","30","legal","60","1","35.599999999999994","64.4","22","30","legal","60","1","35.099999999999994","64.9","22","30","legal","60","1","35.7","64.3","22","30","legal","60","1","35.099999999999994","64.9","22","30","legal","60","1","38.7","61.3"
,"23","30","legal","60","1","33.599999999999994","66.4","23","30","legal","60","1","35.5","64.5","23","30","legal","60","1","34.599999999999994","65.4","23","30","legal","60","1","34.89999999999999","65.10000000000001","23","30","legal","60","1","33.39999999999999","66.60000000000001","23","30","legal","60","1","34.7","65.3","23","30","legal","60","1","34.7","65.3","23","30","legal","60","1","34.8","65.2","23","30","legal","60","1","34.099999999999994","65.9","23","30","legal","60","1","38.3","61.7"
,"24","30","legal","60","1","32.8","67.2","24","30","legal","60","1","36","64","24","30","legal","60","1","34.89999999999999","65.10000000000001","24","30","legal","60","1","34.2","65.8","24","30","legal","60","1","33.3","66.7","24","30","legal","60","1","35","65","24","30","legal","60","1","34.5","65.5","24","30","legal","60","1","34.2","65.8","24","30","legal","60","1","32.69999999999999","67.30000000000001","24","30","legal","60","1","38.2","61.8"
,"25","30","legal","60","1","32.599999999999994","67.4","25","30","legal","60","1","35.3","64.7","25","30","legal","60","1","35.3","64.7","25","30","legal","60","1","33.8","66.2","25","30","legal","60","1","33.7","66.3","25","30","legal","60","1","35.39999999999999","64.60000000000001","25","30","legal","60","1","33.599999999999994","66.4","25","30","legal","60","1","33.8","66.2","25","30","legal","60","1","32.19999999999999","67.80000000000001","25","30","legal","60","1","39","61"
,"26","30","legal","60","1","32.89999999999999","67.10000000000001","26","30","legal","60","1","34.8","65.2","26","30","legal","60","1","33.099999999999994","66.9","26","30","legal","60","1","33.099999999999994","66.9","26","30","legal","60","1","33.099999999999994","66.9","26","30","legal","60","1","34.5","65.5","26","30","legal","60","1","32","68","26","30","legal","60","1","32.89999999999999","67.10000000000001","26","30","legal","60","1","31.89999999999999","68.10000000000001","26","30","legal","60","1","36.7","63.3"
,"27","30","legal","60","1","31.89999999999999","68.10000000000001","27","30","legal","60","1","33.099999999999994","66.9","27","30","legal","60","1","31.5","68.5","27","30","legal","60","1","33","67","27","30","legal","60","1","33.099999999999994","66.9","27","30","legal","60","1","33.3","66.7","27","30","legal","60","1","32.3","67.7","27","30","legal","60","1","31.799999999999997","68.2","27","30","legal","60","1","31.69999999999999","68.30000000000001","27","30","legal","60","1","35.599999999999994","64.4"
,"28","30","legal","60","1","30.900000000000006","69.1","28","30","legal","60","1","32.599999999999994","67.4","28","30","legal","60","1","31.89999999999999","68.10000000000001","28","30","legal","60","1","31.89999999999999","68.10000000000001","28","30","legal","60","1","31.69999999999999","68.30000000000001","28","30","legal","60","1","32.099999999999994","67.9","28","30","legal","60","1","31.799999999999997","68.2","28","30","legal","60","1","31.89999999999999","68.10000000000001","28","30","legal","60","1","31.299999999999997","68.7","28","30","legal","60","1","35.5","64.5"
,"29","30","legal","60","1","32.69999999999999","67.30000000000001","29","30","legal","60","1","33.099999999999994","66.9","29","30","legal","60","1","31.69999999999999","68.30000000000001","29","30","legal","60","1","30.80000000000001","69.19999999999999","29","30","legal","60","1","31.39999999999999","68.60000000000001","29","30","legal","60","1","31.299999999999997","68.7","29","30","legal","60","1","30.60000000000001","69.39999999999999","29","30","legal","60","1","32.39999999999999","67.60000000000001","29","30","legal","60","1","32.3","67.7","29","30","legal","60","1","36.3","63.7"
,"30","30","legal","60","1","32","68","30","30","legal","60","1","33.7","66.3","30","30","legal","60","1","30.5","69.5","30","30","legal","60","1","30.900000000000006","69.1","30","30","legal","60","1","32.39999999999999","67.60000000000001","30","30","legal","60","1","30.60000000000001","69.39999999999999","30","30","legal","60","1","30.5","69.5","30","30","legal","60","1","32","68","30","30","legal","60","1","30.400000000000006","69.6","30","30","legal","60","1","34.8","65.2"
,"31","30","legal","60","1","32","68","31","30","legal","60","1","32.3","67.7","31","30","legal","60","1","30.30000000000001","69.69999999999999","31","30","legal","60","1","29.80000000000001","70.19999999999999","31","30","legal","60","1","31.69999999999999","68.30000000000001","31","30","legal","60","1","30.200000000000003","69.8","31","30","legal","60","1","30.60000000000001","69.39999999999999","31","30","legal","60","1","32","68","31","30","legal","60","1","31.10000000000001","68.89999999999999","31","30","legal","60","1","33.89999999999999","66.10000000000001"
