tick,none10_mean,none10_lo,none10_hi,legal10_mean,legal10_lo,legal10_hi,platform10_mean,platform10_lo,platform10_hi,none30_mean,none30_lo,none30_hi,legal30_mean,legal30_lo,legal30_hi,platform30_mean,platform30_lo,platform30_hi,none50_mean,none50_lo,none50_hi,legal50_mean,legal50_lo,legal50_hi,platform50_mean,platform50_lo,platform50_hi
37,0.050000,0.000000,0.119520,80.550000,79.764735,81.335265,100.000000,100.000000,100.000000,0.050000,0.012297,0.087703,80.210000,78.752727,81.667273,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,80.050000,79.002844,81.097156,100.000000,100.000000,100.000000
38,0.040000,0.000000,0.090018,74.530000,73.333906,75.726094,100.000000,100.000000,100.000000,0.050000,0.012297,0.087703,73.430000,71.810612,75.049388,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,73.960000,72.698139,75.221861,100.000000,100.000000,100.000000
39,0.040000,0.000000,0.090018,67.240000,65.684311,68.795689,100.000000,100.000000,100.000000,0.040000,0.003059,0.076941,65.730000,63.681516,67.778484,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,66.440000,64.554507,68.325493,100.000000,100.000000,100.000000
40,0.040000,0.000000,0.090018,58.780000,56.729088,60.830912,100.000000,100.000000,100.000000,0.030000,0.000000,0.064555,57.210000,54.890397,59.529603,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,58.000000,55.898100,60.101900,100.000000,100.000000,100.000000
41,0.040000,0.000000,0.090018,84.030000,83.316195,84.743805,100.000000,100.000000,100.000000,0.030000,0.000000,0.064555,83.910000,82.884683,84.935317,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,83.430000,82.313569,84.546431,100.000000,100.000000,100.000000
42,0.030000,0.000000,0.078283,80.890000,79.928798,81.851202,100.000000,100.000000,100.000000,0.030000,0.000000,0.064555,80.400000,79.109270,81.690730,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,80.290000,78.953199,81.626801,100.000000,100.000000,100.000000
43,0.030000,0.000000,0.078283,74.340000,73.269246,75.410754,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,73.550000,71.766782,75.333218,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,74.120000,72.257079,75.982921,100.000000,100.000000,100.000000
44,0.020000,0.000000,0.050162,66.180000,65.124973,67.235027,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,65.720000,63.533300,67.906700,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,66.450000,64.133635,68.766365,100.000000,100.000000,100.000000
45,0.020000,0.000000,0.050162,57.660000,56.381575,58.938425,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,57.000000,54.548228,59.451772,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,58.110000,55.821491,60.398509,100.000000,100.000000,100.000000
46,0.020000,0.000000,0.050162,83.990000,83.234102,84.745898,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,83.210000,82.291757,84.128243,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,83.690000,82.743702,84.636298,100.000000,100.000000,100.000000
47,0.020000,0.000000,0.050162,80.400000,79.139131,81.660869,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,79.470000,78.204607,80.735393,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,80.230000,79.011301,81.448699,100.000000,100.000000,100.000000
48,0.010000,0.000000,0.032622,74.020000,72.123502,75.916498,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,72.900000,71.277823,74.522177,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,73.460000,71.458364,75.461636,100.000000,100.000000,100.000000
49,0.010000,0.000000,0.032622,66.400000,64.309221,68.490779,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,64.690000,62.750912,66.629088,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,65.870000,63.562785,68.177215,100.000000,100.000000,100.000000
50,0.010000,0.000000,0.032622,57.760000,55.415831,60.104169,100.000000,100.000000,100.000000,0.020000,0.000000,0.050162,56.540000,54.631726,58.448274,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,57.740000,55.545151,59.934849,100.000000,100.000000,100.000000
