"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp2_legal_main"
"08/07/2026 20:14:36:700 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","95.8","24","71.8","39.52205882352941","60.47794117647059","4.2","240","215","329"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","93.9","11.899999999999999","82","52.142857142857146","47.85714285714286","6.1","119","146","134"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","93.4","13.700000000000001","79.7","51.98776758409785","48.01223241590214","6.6000000000000005","137","170","157"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","95.6","25.6","70","39.40972222222222","60.59027777777778","4.3999999999999995","256","227","349"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","94.8","15.8","79","45.87155963302752","54.12844036697248","5.2","158","150","177"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","95.6","27.500000000000004","68.1","38.349514563106794","61.6504854368932","4.3999999999999995","275","237","381"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","95.1","17.4","77.69999999999999","45.23160762942779","54.76839237057221","4.9","174","166","201"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","93.3","15.9","77.39999999999999","49.04632152588556","50.95367847411444","6.7","159","180","187"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","96.1","28.7","67.39999999999999","38.44984802431611","61.55015197568389","3.9","287","253","405"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","95.3","18.7","76.6","44.5","55.50000000000001","4.7","187","178","222"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","93.3","17.2","76.1","49","51","6.7","172","196","204"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","93.9","13.3","80.60000000000001","50.955414012738856","49.044585987261144","6.1","133","160","154"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","93.3","18.7","74.6","47.86516853932584","52.13483146067416","6.7","187","213","232"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","93.8","14.7","79.1","49.42857142857143","50.57142857142857","6.2","147","173","177"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","95.5","20.8","74.7","42.758620689655174","57.24137931034483","4.5","208","186","249"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","7","93.4","14.000000000000002","79.4","47.3015873015873","52.6984126984127","6.6000000000000005","140","149","166"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","95.4","21.9","73.5","41.68466522678186","58.31533477321814","4.6","219","193","270"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","93.6","15.5","78.1","47.59206798866856","52.40793201133145","6.4","155","168","185"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","8","94.5","16.400000000000002","78.1","41.66666666666667","58.333333333333336","5.5","164","145","203"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","93.4","19.900000000000002","73.5","47.69874476987448","52.30125523012552","6.6000000000000005","199","228","250"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","93.8","16.8","77","47.34177215189874","52.65822784810127","6.2","168","187","208"
