"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp7b_scale-check(b)"
"08/07/2026 20:17:48:684 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted","mean-degree","max-degree","degree-sd","count-isolates","mean-super-degree","legal-load","audit-load"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","38.739999999999995","0","38.739999999999995","0","0","61.260000000000005","0","0","0","3.9988","253","6.501234634310263","0","47.9","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","44.86","0","44.86","0","0","55.14","0","0","0","3.9988","138","5.694285164681218","0","47.56","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","46","0","46","0","0","54","0","0","0","3.9988","143","5.951023567110144","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","40.18000000000001","0","40.18000000000001","0","0","59.81999999999999","0","0","0","3.9988","171","5.683912378985768","0","44.62","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","6","47.540000000000006","0","47.540000000000006","0","0","52.459999999999994","0","0","0","3.9988","225","6.33413157461713","0","47.02","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","32.3","0","32.3","0","0","67.7","0","0","0","3.9988","253","6.501234634310293","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","38.88","0","38.88","0","0","61.12","0","0","0","3.9988","143","5.9510235671101315","0","47.46","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","37.68","0","37.68","0","0","62.32","0","0","0","3.9988","138","5.694285164681184","0","47.56","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","37.28","0","37.28","0","0","62.72","0","0","0","3.9988","289","7.134968823759772","0","49.16","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","33.17999999999999","0","33.17999999999999","0","0","66.82000000000001","0","0","0","3.9988","171","5.683912378985717","0","44.62","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","7","39.6","0","39.6","0","0","60.4","0","0","0","3.9988","225","6.334131574617204","0","47.02","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","27.200000000000003","0","27.200000000000003","0","0","72.8","0","0","0","3.9988","253","6.501234634310271","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","27.739999999999995","0","27.739999999999995","0","0","72.26","0","0","0","3.9988","171","5.683912378985709","0","44.62","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","30.92","0","30.92","0","0","69.08","0","0","0","3.9988","138","5.694285164681185","0","47.56","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","31.260000000000005","0","31.260000000000005","0","0","68.74","0","0","0","3.9988","289","7.134968823759772","0","49.16","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","22.540000000000006","0","22.540000000000006","0","0","77.46","0","0","0","3.9988","253","6.501234634310216","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","32.34","0","32.34","0","0","67.66","0","0","0","3.9988","143","5.951023567110146","0","47.46","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","8","32.84","0","32.84","0","0","67.16","0","0","0","3.9988","225","6.334131574617181","0","47.02","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","22.819999999999993","0","22.819999999999993","0","0","77.18","0","0","0","3.9988","171","5.6839123789857675","0","44.62","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","18.22","0","18.22","0","0","81.78","0","0","0","3.9988","253","6.501234634310277","0","47.9","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","24.900000000000006","0","24.900000000000006","0","0","75.1","0","0","0","3.9988","138","5.694285164681163","0","47.56","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","26.900000000000006","0","26.900000000000006","0","0","73.1","0","0","0","3.9988","225","6.334131574617178","0","47.02","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","25.86","0","25.86","0","0","74.14","0","0","0","3.9988","289","7.1349688237598","0","49.16","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","9","26.700000000000003","0","26.700000000000003","0","0","73.3","0","0","0","3.9988","143","5.951023567110147","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","18.47999999999999","0","18.47999999999999","0","0","81.52000000000001","0","0","0","3.9988","171","5.6839123789857195","0","44.62","3500","3750"
