"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp4_2*2"
"08/07/2026 20:15:49:245 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","71.9","8.1","63.800000000000004","90.60402684563759","9.395973154362416","28.1","81","810","84"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","86.4","11","75.4","90.82792207792207","9.172077922077921","13.600000000000001","110","1119","113"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","89.8","7.5","82.3","84.92063492063492","15.079365079365079","10.2","75","428","76"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","63.9","8.1","55.8","90.60402684563759","9.395973154362416","36.1","81","810","84"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","65.4","7.9","57.50000000000001","89.13612565445025","10.863874345549739","34.599999999999994","79","681","83"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","89.3","9.8","79.5","87.56038647342996","12.439613526570048","10.7","98","725","103"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","84.7","7.5","77.2","84.92063492063492","15.079365079365079","15.299999999999999","75","428","76"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","79.6","11.4","68.19999999999999","85.93200468933178","14.06799531066823","20.4","114","733","120"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","83.4","11","72.4","90.82792207792207","9.172077922077921","16.6","110","1119","113"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","86.9","9.8","77.10000000000001","87.56038647342996","12.439613526570048","13.100000000000001","98","725","103"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","77","11","66","90.82792207792207","9.172077922077921","23","110","1119","113"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","24","71.4","11.4","60.00000000000001","85.93200468933178","14.06799531066823","28.599999999999998","114","733","120"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","87.4","9.4","78","90.58171745152355","9.418282548476455","12.6","94","981","102"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","84.8","9.9","74.89999999999999","91.50865622423743","8.491343775762573","15.2","99","1110","103"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","24","69.8","11","58.8","90.82792207792207","9.172077922077921","30.2","110","1119","113"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","78.2","7.5","70.7","84.92063492063492","15.079365079365079","21.8","75","428","76"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","82.5","9.8","72.7","87.56038647342996","12.439613526570048","17.5","98","725","103"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","25","62.2","11.4","50.800000000000004","85.93200468933178","14.06799531066823","37.8","114","733","120"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","76","9.8","66.2","87.56038647342996","12.439613526570048","24","98","725","103"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","83.9","9.4","74.5","90.58171745152355","9.418282548476455","16.1","94","981","102"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","72.1","7.5","64.6","84.92063492063492","15.079365079365079","27.900000000000002","75","428","76"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","69.1","9.8","59.3","87.56038647342996","12.439613526570048","30.9","98","725","103"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","81.5","9.9","71.6","91.50865622423743","8.491343775762573","18.5","99","1110","103"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","77.7","9.4","68.3","90.58171745152355","9.418282548476455","22.3","94","981","102"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","26","87.6","12.4","75.19999999999999","89","11","12.4","124","1068","132"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","25","62.5","11","51.5","90.82792207792207","9.172077922077921","37.5","110","1119","113"
"1","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","89.1","9.4","79.69999999999999","87.18954248366013","12.810457516339868","10.9","94","667","98"
"5","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","24","69.1","9.4","59.699999999999996","90.58171745152355","9.418282548476455","30.9","94","981","102"
"2","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","75.2","9.9","65.3","91.50865622423743","8.491343775762573","24.8","99","1110","103"
"3","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","87.8","12","75.8","88.65248226950354","11.347517730496454","12.2","120","1000","128"
"4","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","27","85.3","12.4","72.89999999999999","89","11","14.7","124","1068","132"
"6","legal","targeted","BA","10","70","5","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","26","86","11.899999999999999","74.1","91.96141479099678","8.038585209003216","14.000000000000002","119","1430","125"
